Year	Population
0	5000
100	7236
200	7257
300	7215
400	7153
500	7481
600	6926
700	6487
800	6020
900	6083
1000	5998
1100	5563
1200	5322
1300	5603
1400	5867
1500	5820
1600	5708
1700	5517
1800	5474
1900	5698
2000	5930
2100	5685
2200	5896
2300	5492
2400	5879
2500	5910
2600	6248
2700	5995
2800	6391
2900	6815
3000	7034
3100	6992
3200	6860
3300	7160
3400	7057
3500	7086
3600	6499
3700	6384
3800	6349
3900	5903
4000	6039
4100	5666
4200	5579
4300	5470
4400	5002
4500	5158
4600	4954
4700	4902
4800	5016
4900	5084
5000	4887
5100	4906
5200	4993
5300	4921
5400	4619
5500	4737
5600	4669
5700	4574
5800	4429
5900	4492
6000	4453
6100	4859
6200	4785
6300	4699
6400	4944
6500	4959
6600	5124
6700	5613
6800	5215
6900	4925
7000	4804
7100	4820
7200	4744
7300	4696
7400	4456
7500	4576
7600	4931
7700	5204
7800	5253
7900	5528
8000	5486
8100	5446
8200	5939
8300	6132
8400	6537
8500	6678
8600	7116
8700	7217
8800	7324
8900	7565
9000	7730
9100	7283
9200	7184
9300	7373
9400	7085
9500	7306
9600	7571
9700	6982
9800	6522
9900	6339
10000	6611
10100	7232
10200	7546
10300	7298
10400	7100
10500	7009
10600	6986
10700	7099
10800	6913
10900	7430
11000	7321
11100	7346
11200	7069
11300	7373
11400	7813
11500	7893
11600	7845
11700	7875
11800	8035
11900	7780
12000	7897
12100	7833
12200	7936
12300	8353
12400	8222
12500	8325
12600	8147
12700	8371
12800	7932
12900	8382
13000	7896
13100	7778
13200	7932
13300	7914
13400	7984
13500	8009
13600	8601
13700	8638
13800	8370
13900	8761
14000	8841
14100	8516
14200	8594
14300	8651
14400	8687
14500	9012
14600	8938
14700	9295
14800	9108
14900	8978
15000	8641
15100	8439
15200	8767
15300	8902
15400	9518
15500	9327
15600	8961
15700	8860
15800	9012
15900	8857
16000	8473
16100	7946
16200	8154
16300	8268
16400	8388
16500	7895
16600	8022
16700	7784
16800	8117
16900	8205
17000	8118
17100	7993
17200	7737
17300	7387
17400	7621
17500	7983
17600	8099
17700	7573
17800	7359
17900	7256
18000	7181
18100	6761
18200	6684
18300	6449
18400	6099
18500	5971
18600	6008
18700	6118
18800	6316
18900	6467
19000	6400
19100	6612
19200	6937
19300	7341
19400	7077
19500	7062
19600	7315
19700	7729
19800	7894
19900	7767
20000	7602
20100	7969
20200	7674
20300	7790
20400	7654
20500	7469
20600	8015
20700	7705
20800	8666
20900	8889
21000	8949
21100	9131
21200	9106
21300	9384
21400	9820
21500	9698
21600	9294
21700	9146
21800	8843
21900	9007
22000	9170
22100	8919
22200	8533
22300	8281
22400	8402
22500	8553
22600	8439
22700	8059
22800	7515
22900	7606
23000	7329
23100	7337
23200	7237
23300	7307
23400	7297
23500	7227
23600	7262
23700	7247
23800	7377
23900	7034
24000	6712
24100	7006
24200	7436
24300	7364
24400	7880
24500	8247
24600	8232
24700	8356
24800	8136
24900	8741
25000	8479
25100	8352
25200	8658
25300	8484
25400	7943
25500	7330
25600	7669
25700	7684
25800	7515
25900	7315
26000	6891
26100	6868
26200	7273
26300	7255
26400	6909
26500	6945
26600	6778
26700	6665
26800	6541
26900	6680
27000	6298
27100	6094
27200	5608
27300	5258
27400	5431
27500	5677
27600	5718
27700	5954
27800	5710
27900	6057
28000	5987
28100	6149
28200	6151
28300	5838
28400	5684
28500	5566
28600	5382
28700	5451
28800	5791
28900	5886
29000	5981
29100	5947
29200	6152
29300	6290
29400	6327
29500	6300
29600	6307
29700	6080
29800	5878
29900	6057
30000	6302
30100	6723
30200	6872
30300	6797
30400	6780
30500	6432
30600	6547
30700	6333
30800	6426
30900	6133
31000	6275
31100	6131
31200	6523
31300	6304
31400	6477
31500	6571
31600	6327
31700	6128
31800	6194
31900	5851
32000	5977
32100	5884
32200	5974
32300	6076
32400	6190
32500	6358
32600	6301
32700	6672
32800	6745
32900	7063
33000	6938
33100	6847
33200	7001
33300	7347
33400	7289
33500	6940
33600	6989
33700	6638
33800	6269
33900	6174
34000	5984
34100	5642
34200	5578
34300	5632
34400	5808
34500	5489
34600	5563
34700	5676
34800	5564
34900	5601
35000	5517
35100	5395
35200	5616
35300	5400
35400	5329
35500	5072
35600	5096
35700	4773
35800	4672
35900	5337
36000	5825
36100	5139
36200	4852
36300	4747
36400	4762
36500	4488
36600	4958
36700	4962
36800	4808
36900	4900
37000	5028
37100	4974
37200	4661
37300	4602
37400	4998
37500	5145
37600	5217
37700	5895
37800	6204
37900	5767
38000	5493
38100	5461
38200	5326
38300	5419
38400	4903
38500	4880
38600	4866
38700	4716
38800	4811
38900	5263
39000	4989
39100	4716
39200	4637
39300	4317
39400	4185
39500	4184
39600	4498
39700	4336
39800	4461
39900	4502
40000	4419
40100	4332
40200	4823
40300	4642
40400	3912
40500	4042
40600	4074
40700	3887
40800	3473
40900	3542
41000	3435
41100	3359
41200	3605
41300	3502
41400	3511
41500	3313
41600	3161
41700	3429
41800	3269
41900	3369
42000	3618
42100	3598
42200	3411
42300	3977
42400	3801
42500	3418
42600	3393
42700	3400
42800	3264
42900	3082
43000	2979
43100	2658
43200	2949
43300	3392
43400	3225
43500	3157
43600	3022
43700	2973
43800	2858
43900	2917
44000	3102
44100	3218
44200	3335
44300	3605
44400	3889
44500	3934
44600	3740
44700	3842
44800	3474
44900	3349
45000	3284
45100	3381
45200	3378
45300	3405
45400	3424
45500	3462
45600	3517
45700	3326
45800	3082
45900	2990
46000	2725
46100	2779
46200	2790
46300	2782
46400	2838
46500	3045
46600	3324
46700	3154
46800	3026
46900	2977
47000	3028
47100	3009
47200	2863
47300	2838
47400	2838
47500	3275
47600	3633
47700	3679
47800	3783
47900	3640
48000	4104
48100	3931
48200	4469
48300	4197
48400	4163
48500	4073
48600	3865
48700	3686
48800	3668
48900	3786
49000	4142
49100	3885
49200	3517
49300	3174
49400	3562
49500	3226
49600	3085
49700	2959
49800	2721
49900	2584
50000	2486
