Year	Population
17200	8336
17300	7990
17400	8072
17500	8439
17600	8220
17700	8428
17800	8948
17900	9246
18000	9521
18100	8699
18200	8906
18300	8872
18400	9208
18500	9355
18600	9660
18700	9557
18800	9489
18900	9701
19000	9314
19100	9572
19200	9904
19300	9911
19400	9766
19500	10448
19600	10716
19700	11360
19800	10807
19900	10594
20000	10830
20100	11345
20200	11426
20300	11346
20400	11939
20500	11515
20600	12017
20700	11972
20800	11766
20900	11698
21000	11803
21100	12552
21200	12489
21300	12666
21400	12382
21500	12620
21600	11652
21700	11310
21800	11385
21900	12278
22000	12539
22100	11996
22200	12620
22300	12392
22400	12759
22500	12855
22600	12275
22700	12126
22800	12667
22900	12236
23000	12127
23100	11784
23200	11646
23300	11521
23400	12086
23500	12297
23600	12099
23700	12328
23800	11706
23900	11954
24000	12240
24100	12513
24200	12378
24300	12623
24400	13034
24500	13025
24600	13196
24700	13193
24800	12589
24900	12090
25000	12213
25100	11695
25200	11674
25300	11407
25400	10746
25500	10640
25600	11377
25700	11508
25800	12058
25900	12453
26000	12952
26100	13267
26200	13079
26300	13035
26400	12759
26500	12486
26600	12479
26700	12794
26800	12599
26900	12274
27000	11730
27100	12020
27200	12449
27300	11914
27400	10989
27500	10732
27600	10312
27700	10018
27800	10049
27900	9534
28000	9780
28100	10549
28200	10726
28300	10665
28400	10162
28500	10308
28600	10332
28700	10164
28800	9541
28900	9481
29000	9604
29100	10208
29200	10387
29300	10084
29400	10074
29500	9743
29600	9847
29700	9679
29800	9247
29900	8882
30000	9066
30100	8975
30200	8454
30300	8301
30400	8475
30500	8594
30600	8536
30700	8566
30800	8226
30900	8170
31000	8090
31100	7694
31200	7485
31300	7592
31400	7433
31500	7650
31600	7688
31700	7468
31800	7603
31900	7466
32000	7526
32100	7429
32200	7297
32300	7089
32400	6938
32500	7186
32600	7504
32700	7883
32800	7816
32900	7294
33000	7523
33100	7618
33200	7507
33300	7551
33400	7602
33500	8014
33600	7981
33700	7569
33800	7618
33900	7761
34000	7766
34100	8024
34200	7939
34300	8525
34400	8363
34500	8629
34600	8984
34700	8885
34800	9155
34900	8711
35000	8581
35100	9040
35200	9175
35300	9048
35400	9292
35500	8963
35600	8937
35700	9017
35800	9200
35900	9333
36000	9318
36100	9547
36200	9476
36300	9504
36400	9430
36500	9213
36600	8932
36700	9146
36800	9500
36900	9355
37000	9427
37100	9307
37200	9461
37300	10051
37400	9469
37500	9741
37600	9662
37700	10106
37800	9795
37900	9069
38000	9080
38100	9788
38200	10019
38300	10096
38400	9408
38500	9288
38600	9509
38700	9305
38800	9486
38900	9686
39000	10049
39100	10135
39200	9971
39300	10004
39400	9356
39500	9526
39600	9901
39700	10411
39800	11065
39900	11330
40000	10961
40100	11331
40200	11871
40300	11945
40400	12425
40500	12487
40600	11937
40700	12299
40800	13320
40900	13450
41000	13498
41100	12772
41200	12669
41300	12172
41400	12522
41500	12436
41600	12323
41700	12646
41800	13503
41900	13123
42000	12638
42100	12430
42200	12581
42300	13106
42400	13230
42500	13485
42600	13511
42700	13900
42800	14374
42900	14469
43000	14882
43100	15157
43200	15681
43300	15786
43400	15965
43500	15954
43600	16247
43700	16530
43800	16261
43900	16115
44000	16788
44100	17104
44200	17194
44300	16794
44400	16268
44500	15949
44600	17289
44700	17420
44800	17600
44900	18503
45000	18870
45100	19289
45200	19263
45300	19469
45400	19625
45500	19214
45600	18873
45700	19830
45800	19441
45900	19704
46000	19202
46100	18371
46200	19093
46300	18316
46400	18470
46500	17802
46600	18361
46700	17883
46800	18098
46900	18486
47000	18196
47100	17100
47200	16583
47300	16141
47400	15890
47500	15451
47600	14923
47700	14698
47800	14566
47900	14390
48000	14651
48100	14318
48200	14588
48300	13956
48400	14551
48500	14235
48600	14062
48700	13692
48800	13947
48900	14426
49000	14430
49100	14306
49200	14613
49300	14341
49400	14379
49500	15039
49600	14976
49700	15348
49800	15722
49900	15337
50000	15496
