Year	Population
21500	2133
21600	2199
21700	2250
21800	2297
21900	2373
22000	2412
22100	2431
22200	2248
22300	2524
22400	2181
22500	1941
22600	1873
22700	1803
22800	1820
22900	1811
23000	1959
23100	2085
23200	2502
23300	2625
23400	2676
23500	2625
23600	2866
23700	2551
23800	2261
23900	2287
24000	2285
24100	2208
24200	2203
24300	2281
24400	2458
24500	2577
24600	2510
24700	2628
24800	2945
24900	3124
25000	3175
25100	3382
25200	3522
25300	3663
25400	3699
25500	3913
25600	4252
25700	4203
25800	4433
25900	4568
26000	4848
26100	5073
26200	4775
26300	4753
26400	5114
26500	5755
26600	6063
26700	5970
26800	5856
26900	5571
27000	5126
27100	5156
27200	5368
27300	5511
27400	5477
27500	5338
27600	5380
27700	5138
27800	5029
27900	5256
28000	5818
28100	5444
28200	5426
28300	5691
28400	5592
28500	5913
28600	5820
28700	5479
28800	5451
28900	5454
29000	5594
29100	5628
29200	5447
29300	5392
29400	6184
29500	6237
29600	6442
29700	6482
29800	6644
29900	6651
30000	6563
30100	6194
30200	6176
30300	6493
30400	6610
30500	6290
30600	6078
30700	5923
30800	5576
30900	5302
31000	5357
31100	5040
31200	4971
31300	4729
31400	4177
31500	4217
31600	4347
31700	4737
31800	4600
31900	4469
32000	4518
32100	4624
32200	5056
32300	5121
32400	5077
32500	4702
32600	5052
32700	4568
32800	4534
32900	5263
33000	5290
33100	5570
33200	5565
33300	5756
33400	6032
33500	6292
33600	6182
33700	6169
33800	6331
33900	6329
34000	6376
34100	6545
34200	6468
34300	6881
34400	6894
34500	7372
34600	7339
34700	7725
34800	7776
34900	7582
35000	7825
35100	8138
35200	7789
35300	7523
35400	6938
35500	6939
35600	6852
35700	7121
35800	7401
35900	7328
36000	7194
36100	7357
36200	7438
36300	7658
36400	7705
36500	7904
36600	7744
36700	7420
36800	7398
36900	7419
37000	7415
37100	7520
37200	7225
37300	7359
37400	7589
37500	7227
37600	6950
37700	7131
37800	7372
37900	7191
38000	6948
38100	6725
38200	6488
38300	6238
38400	6297
38500	6230
38600	6346
38700	6040
38800	5997
38900	5964
39000	5810
39100	5801
39200	5670
39300	5324
39400	5305
39500	5453
39600	5281
39700	5214
39800	5259
39900	5226
40000	4917
40100	4942
40200	4952
40300	5109
40400	4938
40500	5072
40600	4837
40700	4687
40800	4349
40900	4200
41000	4271
41100	4771
41200	4641
41300	4860
41400	4852
41500	4939
41600	5162
41700	5504
41800	6038
41900	5873
42000	6159
42100	6548
42200	6569
42300	6509
42400	6478
42500	6533
42600	6261
42700	6279
42800	6902
42900	6670
43000	7099
43100	7293
43200	7515
43300	7762
43400	7162
43500	6849
43600	6722
43700	6814
43800	6660
43900	6803
44000	6747
44100	6784
44200	6992
44300	7410
44400	7571
44500	7757
44600	7647
44700	8142
44800	8640
44900	8523
45000	8249
45100	8387
45200	8104
45300	8302
45400	8603
45500	8614
45600	8835
45700	8343
45800	8831
45900	8805
46000	8988
46100	9055
46200	8927
46300	8678
46400	8845
46500	9051
46600	9356
46700	9441
46800	9750
46900	9247
47000	9581
47100	9342
47200	9571
47300	9585
47400	9656
47500	9491
47600	8926
47700	9130
47800	8745
47900	8978
48000	9111
48100	9025
48200	9093
48300	8946
48400	9073
48500	9236
48600	8956
48700	9012
48800	8628
48900	8250
49000	8341
49100	8168
49200	8230
49300	8064
49400	8230
49500	8665
49600	8521
49700	8715
49800	8776
49900	9009
50000	9447
