Year	Population
0	1000
100	1234
200	1113
300	1082
400	1094
500	978
600	1033
700	915
800	778
900	837
1000	939
1100	1098
1200	979
1300	944
1400	1025
1500	889
1600	1038
1700	824
1800	899
1900	1123
2000	1311
2100	1320
2200	1098
2300	1048
2400	1353
2500	1369
2600	1210
2700	1031
2800	898
2900	1229
3000	1236
3100	1196
3200	1290
3300	1332
3400	1296
3500	1239
3600	1270
3700	1152
3800	1110
3900	1129
4000	993
4100	951
4200	711
4300	690
4400	809
4500	904
4600	934
4700	914
4800	976
4900	943
5000	876
5100	920
5200	1042
5300	1128
5400	1207
5500	1295
5600	1186
5700	1392
5800	1251
5900	1189
6000	911
6100	1038
6200	938
6300	991
6400	885
6500	717
6600	830
6700	772
6800	739
6900	674
7000	809
7100	956
7200	887
7300	779
7400	854
7500	813
7600	761
7700	749
7800	750
7900	749
8000	858
8100	939
8200	891
8300	853
8400	722
8500	722
8600	632
8700	719
8800	744
8900	805
9000	791
9100	744
9200	773
9300	748
9400	855
9500	769
9600	738
9700	581
9800	471
9900	389
10000	330

Year	Forefathers
0	3
3084	3
3444	4
6402	5
6949	6
7788	7
8188	8
8430	9
8489	10
8490	11
9177	12
9234	13
9332	14
9384	15
9398	16
9620	17
9621	18
9666	19
9690	20
9721	21
9736	22
9739	23
9765	24
9770	25
9770	26
9775	27
9782	28
9784	29
9798	30
9813	31
9825	32
9837	33
9840	34
9846	35
9853	36
9855	37
9857	38
9874	39
9878	40
9879	41
9887	42
9895	43
9895	44
9898	45
9905	46
9906	47
9907	48
9909	49
9912	50
9912	51
9916	52
9916	53
9918	54
9918	55
9918	56
9920	57
9922	58
9925	59
9925	60
9925	61
9925	62
9926	63
9927	64
9929	65
9929	66
9930	67
9931	68
9932	69
9934	70
9934	71
9934	72
9935	73
9935	74
9935	75
9935	76
9936	77
9936	78
9937	79
9941	80
9942	81
9942	82
9943	83
9943	84
9944	85
9945	86
9945	87
9946	88
9946	89
9950	90
9950	91
9951	92
9952	93
9952	94
9952	95
9953	96
9953	97
9953	98
9953	99
9953	100
9953	101
9953	102
9953	103
9954	104
9954	105
9954	106
9954	107
9955	108
9956	109
9956	110
9958	111
9959	112
9959	113
9959	114
9960	115
9960	116
9961	117
9962	118
9963	119
9963	120
9964	121
9964	122
9964	123
9964	124
9964	125
9965	126
9966	127
9966	128
9966	129
9966	130
9967	131
9967	132
9968	133
9968	134
9968	135
9969	136
9971	137
9972	138
9972	139
9972	140
9972	141
9972	142
9974	143
9974	144
9976	145
9978	146
9978	147
9978	148
9980	149
9980	150
9982	151
9983	152
9984	153
9984	154
9985	155
9986	156
9987	157
9988	158
9988	159
9989	160
9990	161
9992	162
9992	163
9994	164

Year	Foremothers
0	3
7293	3
8431	4
8511	5
8633	6
8722	7
9178	8
9239	9
9247	10
9253	11
9280	12
9292	13
9547	14
9650	15
9653	16
9661	17
9666	18
9729	19
9730	20
9753	21
9754	22
9795	23
9836	24
9840	25
9841	26
9843	27
9865	28
9869	29
9875	30
9880	31
9880	32
9881	33
9881	34
9890	35
9892	36
9898	37
9902	38
9902	39
9903	40
9909	41
9909	42
9911	43
9912	44
9915	45
9919	46
9919	47
9923	48
9925	49
9925	50
9927	51
9927	52
9929	53
9929	54
9931	55
9931	56
9932	57
9935	58
9935	59
9936	60
9939	61
9939	62
9940	63
9940	64
9941	65
9943	66
9944	67
9944	68
9944	69
9945	70
9946	71
9948	72
9948	73
9949	74
9949	75
9949	76
9949	77
9951	78
9952	79
9952	80
9952	81
9956	82
9956	83
9956	84
9956	85
9956	86
9956	87
9958	88
9958	89
9959	90
9960	91
9960	92
9960	93
9960	94
9960	95
9960	96
9961	97
9961	98
9961	99
9961	100
9961	101
9961	102
9961	103
9961	104
9962	105
9962	106
9962	107
9962	108
9962	109
9962	110
9962	111
9963	112
9963	113
9963	114
9964	115
9964	116
9964	117
9965	118
9967	119
9967	120
9967	121
9968	122
9968	123
9968	124
9968	125
9968	126
9968	127
9969	128
9970	129
9971	130
9971	131
9972	132
9972	133
9972	134
9972	135
9974	136
9974	137
9974	138
9976	139
9977	140
9978	141
9979	142
9979	143
9979	144
9980	145
9980	146
9981	147
9982	148
9982	149
9983	150
9984	151
9984	152
9986	153
9987	154
9989	155
9989	156
9989	157
9989	158
9991	159
9992	160
9993	161
9993	162
